16;4.3;14.8;38;44;0;2;2
20;4.3;18;46;52;65;2.5;2.5
22;4.3;19.4;50;56;69;2.5;2.5
24;4.3;21.5;54;60;73;3;2.5
27;5.6;23.8;60;66;79;3;2.5
30;5.6;25.6;66;72;85;3.5;2.5
36;6.6;31;78;84;97;4;3

